augmentation,top1,top2,top3
c1-canonical,56.76 ± 0.17,67.16 ± 0.24,71.34 ± 0.33
c1-randomized,22.76 ± 0.81,27.91 ± 0.89,30.70 ± 0.98
r1-canonical,24.37 ± 0.65,30.66 ± 1.22,34.05 ± 1.67
r1-randomized,19.72 ± 0.53,24.41 ± 0.61,27.17 ± 0.80
a2-canonical,36.74 ± 0.38,46.01 ± 0.29,51.45 ± 0.43
a2-randomized,45.70 ± 0.97,56.08 ± 1.04,61.16 ± 0.63
a5-canonical,43.87 ± 0.76,55.66 ± 1.21,61.88 ± 1.00
a5-randomized,51.30 ± 0.55,62.80 ± 0.54,68.43 ± 0.19
a10-canonical,51.50 ± 0.81,64.35 ± 0.60,70.10 ± 0.59
a10-randomized,54.11 ± 0.37,67.04 ± 0.63,72.92 ± 0.61
a20-canonical,54.38 ± 0.21,67.71 ± 0.43,73.80 ± 0.64
a20-randomized,55.06 ± 0.81,68.47 ± 0.58,74.25 ± 0.42
a50-canonical,55.95 ± 0.29,69.37 ± 0.31,75.25 ± 0.31
a50-randomized,55.41 ± 0.45,68.60 ± 0.29,74.41 ± 0.76
npstereo-canonical,58.37 ± 0.66,69.69 ± 0.48,74.65 ± 0.20
npstereo-randomized,23.27 ± 0.59,28.66 ± 0.48,32.40 ± 0.47
rp-canonical,24.11 ± 0.83,30.73 ± 0.77,34.42 ± 0.36
rp-randomized,19.41 ± 0.18,24.08 ± 0.27,27.68 ± 0.29
m65-canonical,46.10 ± 0.50,58.83 ± 0.63,65.41 ± 0.80
m65-randomized,47.58 ± 0.42,60.46 ± 0.32,66.91 ± 0.21
